epoch 339, time = 28.815, error = 2771.2966838
epoch 340, time = 29.122, error = 3766.70294969
epoch 341, time = 28.866, error = 2994.75769936
epoch 342, time = 29.05, error = 2247.2997746
epoch 343, time = 29.363, error = 5040.59384242
epoch 344, time = 28.604, error = 2289.55291836
epoch 345, time = 28.802, error = 2512.77671211
epoch 346, time = 29.43, error = 2418.91765935
epoch 347, time = 28.836, error = 3154.69637845
epoch 348, time = 27.975, error = 2372.82616062
epoch 349, time = 29.126, error = 2656.8578121
epoch 350, time = 29.083, error = 2242.46509364
epoch 351, time = 31.591, error = 2262.41743468
epoch 352, time = 29.173, error = 2280.02121705
epoch 353, time = 28.983, error = 2777.02506177
epoch 354, time = 29.412, error = 4163.94819691
epoch 355, time = 29.068, error = 2551.14422712
epoch 356, time = 28.774, error = 2515.17413009
epoch 357, time = 29.255, error = 3413.12973356
epoch 358, time = 30.816, error = 2561.55302661
epoch 359, time = 28.747, error = 5400.41067449
epoch 360, time = 28.798, error = 2238.63992287
epoch 361, time = 29.186, error = 2484.55183072
epoch 362, time = 28.606, error = 2419.14786815
epoch 363, time = 29.059, error = 3143.08523877
epoch 364, time = 29.043, error = 2223.2400632
epoch 365, time = 29.531, error = 3398.60786079
epoch 366, time = 29.238, error = 2311.87285024
epoch 367, time = 28.799, error = 2916.63818894
epoch 368, time = 28.676, error = 2183.32385202
epoch 369, time = 28.937, error = 2095.1606732
epoch 370, time = 28.548, error = 2350.24276552
epoch 371, time = 29.222, error = 2337.06248914
epoch 372, time = 28.511, error = 2297.55961308
epoch 373, time = 28.779, error = 2212.94464443
epoch 374, time = 28.642, error = 2671.66022594
epoch 375, time = 28.507, error = 2166.89357342
epoch 376, time = 29.271, error = 2217.23410399
epoch 377, time = 28.691, error = 2676.32111781
epoch 378, time = 28.977, error = 2153.51174106
epoch 379, time = 28.714, error = 1935.51536861
epoch 380, time = 28.716, error = 3857.18528895
epoch 381, time = 29.218, error = 2206.76058182
epoch 382, time = 29.385, error = 2646.64404601
epoch 383, time = 28.089, error = 2273.21522787
epoch 384, time = 28.788, error = 2218.77198713
epoch 385, time = 29.86, error = 2363.77033728
epoch 386, time = 28.851, error = 2074.85116446
epoch 387, time = 29.046, error = 2487.0304045
epoch 388, time = 28.85, error = 2855.52971631
epoch 389, time = 28.673, error = 2278.88030772
epoch 390, time = 28.848, error = 2171.38201263
epoch 391, time = 28.493, error = 2391.89728926
epoch 392, time = 29.181, error = 2528.59936119
epoch 393, time = 29.238, error = 2662.55667273
epoch 394, time = 28.989, error = 2128.56532944
epoch 395, time = 28.977, error = 2219.01039219
epoch 396, time = 28.996, error = 2343.27620297
epoch 397, time = 29.045, error = 2062.17846659
epoch 398, time = 28.764, error = 2501.58485212
epoch 399, time = 28.955, error = 2132.05444904
epoch 400, time = 29.013, error = 2439.23243531
epoch 401, time = 31.246, error = 2489.95351615
epoch 402, time = 29.488, error = 2134.5156535
epoch 403, time = 29.03, error = 2138.63760851
